STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-01,0.00,54,62,41
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-02,0.00,52,61,39
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-03,0.00,54,66,45
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-04,0.00,54,63,44
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-05,0.56,54,58,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-06,0.00,53,59,49
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-07,0.21,54,60,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-08,0.00,59,71,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-09,0.00,57,63,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-10,0.00,57,61,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-11,0.00,56,65,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-12,0.93,55,61,52
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-13,0.00,54,61,46
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-14,1.08,55,57,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-15,0.69,54,59,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-16,0.67,55,61,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-17,0.57,60,61,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-18,0.00,59,64,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-19,0.00,61,76,52
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-20,0.00,62,70,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-21,0.00,59,62,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-22,0.00,58,65,52
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-23,0.00,56,65,45
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-24,0.00,59,78,49
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-25,0.00,62,75,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-26,0.00,62,74,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-27,0.00,63,73,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-28,0.00,60,70,49
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-29,0.00,61,68,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-30,0.00,59,64,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-01-31,0.81,58,60,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-01,0.01,55,63,49
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-02,1.45,57,60,52
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-03,0.25,56,59,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-04,0.27,56,60,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-05,0.12,54,56,47
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-06,0.00,50,55,44
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-07,0.00,51,61,42
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-08,0.00,53,61,42
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-09,0.23,52,58,46
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-10,0.10,52,58,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-11,0.00,51,59,42
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-12,0.00,54,68,44
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-13,0.09,55,61,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-14,1.68,57,63,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-15,0.13,56,60,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-16,0.00,53,59,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-17,0.02,53,56,45
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-18,0.00,52,59,46
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-19,0.00,52,58,42
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-20,0.01,50,58,42
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-21,0.00,51,57,45
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-22,0.00,50,60,41
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-23,0.00,52,61,41
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-24,0.00,54,64,45
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-25,0.00,56,65,47
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-26,0.00,55,62,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-27,0.00,57,63,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-02-28,0.06,58,64,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-01,0.00,58,62,56
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-02,0.99,58,62,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-03,0.05,57,59,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-04,0.00,57,61,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-05,0.06,55,62,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-06,0.98,58,61,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-07,0.00,57,60,52
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-08,0.00,55,59,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-09,0.00,54,61,47
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-10,0.00,53,60,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-11,0.00,56,67,49
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-12,0.00,62,68,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-13,0.00,59,68,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-14,0.00,59,70,49
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-15,0.00,62,74,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-16,0.00,67,78,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-17,0.00,66,81,56
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-18,0.00,64,73,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-19,0.00,59,65,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-20,0.00,60,66,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-21,0.02,57,62,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-22,0.00,56,65,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-23,0.00,59,65,56
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-24,0.00,59,66,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-25,0.00,59,68,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-26,0.00,59,67,52
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-27,0.00,60,67,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-28,0.00,61,66,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-29,0.00,60,70,52
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-30,0.00,62,73,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-03-31,0.00,67,81,56
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-01,0.00,69,81,60
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-02,0.00,63,69,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-03,0.00,61,67,57
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-04,0.00,60,66,57
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-05,0.00,60,66,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-06,0.00,61,67,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-07,0.00,63,74,57
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-08,0.00,67,79,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-09,0.00,66,77,59
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-10,0.00,67,74,61
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-11,0.00,65,70,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-12,0.00,64,73,57
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-13,0.00,62,72,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-14,0.00,60,64,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-15,0.00,56,63,52
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-16,0.00,59,65,57
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-17,0.00,61,72,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-18,0.00,63,73,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-19,0.00,60,63,56
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-20,0.00,58,64,57
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-21,0.00,59,66,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-22,0.00,60,66,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-23,0.00,62,72,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019-04-24,0.00,62,72,57
