STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-01,0.03,57,65,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-02,0.05,56,61,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-03,0.00,56,60,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-04,0.00,56,62,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-05,0.07,57,62,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-06,0.00,59,67,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-07,0.00,61,68,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-08,0.02,61,71,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-09,0.00,58,64,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-10,0.00,56,65,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-11,0.00,56,59,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-12,0.00,55,65,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-13,0.00,56,71,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-14,0.00,54,60,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-15,0.03,54,61,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-16,0.00,55,64,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-17,0.00,56,70,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-18,0.00,58,78,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-19,0.00,59,67,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-20,0.00,55,60,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-21,0.00,54,65,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-22,0.00,57,77,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-23,0.00,63,88,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-24,0.00,67,80,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-25,0.00,58,64,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-26,0.00,57,70,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-27,0.00,58,67,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-28,0.00,57,66,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-29,0.00,57,66,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2019-04-30,0.00,58,65,52
